Drug,Severity,Reason
adagr+A2:A143asib,Major,
almotriptan,Major,
amiodarone,Major,
amisulpride,Major,
anagrelide,Major,
arbutamine,Major,
arsenic trioxide,Major,
bedaquiline,Major,
bepridil,Major,
brexanolone,Major,
bupropion,Major,
buspirone,Major,
cabozantinib,Major,
ceritinib,Major,
chloroquine,Major,
cisapride,Major,
citalopram,Major,
clonidine,Major,
clozapine,Major,
cocaine nasal,Major,
cocaine topical,Major,
crizotinib,Major,
cyclobenzaprine,Major,
desvenlafaxine,Major,
dexfenfluramine,Major,
dextromethorphan,Major,
dihydroergotamine,Major,
disopyramide,Major,
dobutamine,Major,
dofetilide,Major,
dolasetron,Major,
dopamine,Major,
dordaviprone,Major,
dronedarone,Major,
droperidol,Major,
duloxetine,Major,
efavirenz,Major,
eletriptan,Major,
ephedrine,Major,
epinephrine,Major,
ergotamine,Major,
escitalopram,Major,
esketamine,Major,
etrasimod,Major,
fenfluramine,Major,
fentanyl,Major,
fexinidazole,Major,
fingolimod,Major,
flumazenil,Major,
fluoxetine,Major,
fluvoxamine,Major,
frovatriptan,Major,
furazolidone,Major,
gatifloxacin,Major,
gepirone,Major,
gepotidacin,Major,
granisetron,Major,
grepafloxacin,Major,
halofantrine,Major,
haloperidol,Major,
hydroxychloroquine,Major,
ibutilide,Major,
iloperidone,Major,
iobenguane I 123,Major,
iobenguane I 131,Major,
iohexol,Major,
iomeprol,Major,
iopamidol,Major,
isocarboxazid,Major,
ivabradine,Major,
ivosidenib,Major,
lasmiditan,Major,
lefamulin,Major,
levoketoconazole,Major,
levomethadyl acetate,Major,
levomilnacipran,Major,
linezolid,Major,
lonafarnib,Major,
lorcaserin,Major,
mavorixafor,Major,
meperidine,Major,
mesoridazine,Major,
metaraminol,Major,
methadone,Major,
methoxamine,Major,
methylene blue,Major,
metrizamide,Major,
mifepristone,Major,
milnacipran,Major,
milsaperidone,Major,
mirtazapine,Major,
mobocertinib,Major,
moxifloxacin,Major,
naratriptan,Major,
nefazodone,Major,
nilotinib,Major,
